SERVICE_MINILINK,hour,speed
1220028000_039,23,29.340335648148145
1220028000_040,0,32.20445601851851
1220028000_040,1,35.75422453703703
1220028000_040,2,39.49247685185185
1220028000_040,3,41.651620370370374
1220028000_040,4,42.30601851851851
1220028000_040,5,43.27094907407407
1220028000_040,6,51.18344907407407
1220028000_040,7,38.04108796296296
1220028000_040,8,30.213657407407407
1220028000_040,9,25.54826388888889
1220028000_040,10,22.850347222222222
1220028000_040,11,23.49079861111111
1220028000_040,12,29.822627314814813
1220028000_040,13,20.317534722222224
1220028000_040,14,18.894328703703707
1220028000_040,15,19.50289351851852
1220028000_040,16,23.917708333333334
1220028000_040,17,28.053009259259255
1220028000_040,18,28.002083333333335
1220028000_040,19,31.192708333333332
1220028000_040,20,35.93165509259259
1220028000_040,21,34.35069444444444
1220028000_040,22,34.131249999999994
1220028000_040,23,31.23576388888889
1220028000_041,0,34.97436342592592
1220028000_041,1,36.658564814814824
1220028000_041,2,39.705150462962955
1220028000_041,3,43.10202546296296
1220028000_041,4,42.754513888888894
1220028000_041,5,48.50243055555556
1220028000_041,6,50.6900462962963
1220028000_041,7,39.05075231481482
1220028000_041,8,30.255092592592593
1220028000_041,9,26.086226851851855
1220028000_041,10,21.503530092592595
1220028000_041,11,22.33449074074074
1220028000_041,12,30.783912037037034
1220028000_041,13,20.2375
1220028000_041,14,19.613425925925927
1220028000_041,15,20.793576388888887
1220028000_041,16,23.44357638888889
1220028000_041,17,27.62685185185185
1220028000_041,18,28.899537037037035
1220028000_041,19,34.43813657407407
1220028000_041,20,35.5775462962963
1220028000_041,21,32.7045138888889
1220028000_041,22,34.19386574074074
1220028000_041,23,32.759027777777774
1220028000_042,0,34.918518518518525
1220028000_042,1,37.99403935185185
1220028000_042,2,40.12511574074074
1220028000_042,3,45.81221064814815
1220028000_042,4,43.59467592592593
1220028000_042,5,51.24230324074075
1220028000_042,6,49.158101851851846
1220028000_042,7,36.243460648148144
1220028000_042,8,32.2574074074074
1220028000_042,9,26.114930555555556
1220028000_042,10,22.78969907407408
1220028000_042,11,21.094791666666666
1220028000_042,12,30.89386574074074
1220028000_042,13,19.504108796296297
1220028000_042,14,19.479166666666668
1220028000_042,15,20.15671296296296
1220028000_042,16,23.360706018518517
1220028000_042,17,26.878645833333334
1220028000_042,18,28.28125
1220028000_042,19,33.51354166666667
1220028000_042,20,36.449305555555554
1220028000_042,21,33.53171296296296
1220028000_042,22,32.897395833333334
1220028000_042,23,30.634490740740745
1220028000_043,0,34.5910300925926
1220028000_043,1,36.79994212962963
1220028000_043,2,40.51817129629629
1220028000_043,3,47.017476851851846
1220028000_043,4,45.671412037037044
1220028000_043,5,53.99120370370369
1220028000_043,6,47.444097222222226
1220028000_043,7,36.50983796296297
1220028000_043,8,30.862615740740743
1220028000_043,9,24.540509259259256
1220028000_043,10,22.420659722222222
1220028000_043,11,21.346064814814813
1220028000_043,12,28.450868055555556
1220028000_043,13,17.836111111111112
1220028000_043,14,17.36770833333334
1220028000_043,15,19.915972222222223
1220028000_043,16,23.655034722222222
1220028000_043,17,26.25821759259259
1220028000_043,18,28.706365740740743
1220028000_043,19,33.79901620370371
1220028000_043,20,36.80949074074074
1220028000_043,21,31.799016203703705
1220028000_043,22,32.31689814814815
1220028000_043,23,29.621180555555554
1220028000_044,0,34.72118055555555
1220028000_044,1,36.1495949074074
1220028000_044,2,41.37268518518519
1220028000_044,3,46.79299768518519
1220028000_044,4,48.18703703703704
1220028000_044,5,49.6078125
1220028000_044,6,45.6230324074074
1220028000_044,7,34.61290509259259
1220028000_044,8,31.693981481481483
1220028000_044,9,26.082638888888887
1220028000_044,10,23.73622685185185
1220028000_044,11,20.51267361111111
1220028000_044,12,28.580439814814817
1220028000_044,13,17.355208333333334
1220028000_044,14,18.861168981481477
1220028000_044,15,20.205787037037037
1220028000_044,16,22.293287037037036
1220028000_044,17,25.10902777777778
1220028000_044,18,27.256944444444443
1220028000_044,19,32.34716435185185
1220028000_044,20,36.54502314814815
1220028000_044,21,30.166666666666668
1220028000_044,22,30.387731481481477
1220028000_044,23,29.366435185185182
1220028000_045,0,32.628703703703714
1220028000_045,1,34.78333333333333
1220028000_045,2,39.346238425925925
1220028000_045,3,46.47748842592592
1220028000_045,4,45.492824074074065
1220028000_045,5,48.439236111111114
1220028000_045,6,46.815567129629635
1220028000_045,7,34.29021990740741
1220028000_045,8,31.521643518518516
1220028000_045,9,24.4412037037037
1220028000_045,10,21.355381944444446
1220028000_045,11,18.74513888888889
1220028000_045,12,26.30578703703704
1220028000_045,13,16.65763888888889
1220028000_045,14,15.982175925925926
1220028000_045,15,19.11857638888889
1220028000_045,16,21.102314814814818
1220028000_045,17,24.797916666666666
1220028000_045,18,26.54259259259259
1220028000_045,19,32.00497685185185
1220028000_045,20,33.763888888888886
1220028000_045,21,30.213541666666668
1220028000_045,22,30.04699074074074
1220028000_045,23,26.405729166666667
1220028000_046,0,31.519791666666666
1220028000_046,1,31.859259259259257
